CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hz214781,04/05/2016 07:58:00 PM,apartment,True,412,4.0,8.0,45.0,41.73969315,-87.582175333
hz215032,04/06/2016 01:32:00 AM,bar_or_tavern,False,412,4.0,8.0,48.0,41.73680993,-87.593332557
hz217559,04/08/2016 12:07:00 AM,street,False,1111,11.0,28.0,25.0,41.893187629,-87.744291004
hz218525,04/09/2016 05:37:00 PM,auto,False,815,8.0,23.0,62.0,41.794250219,-87.725640648
hz221111,04/10/2016 09:44:00 PM,sidewalk,False,2515,25.0,37.0,19.0,41.922092777,-87.770014993
hn463816,04/11/2016 11:52:00 AM,apartment,True,331,3.0,5.0,43.0,41.769877819,-87.569293626
hz222268,04/11/2016 08:13:00 PM,street,False,1031,10.0,22.0,30.0,41.840045924,-87.728084679
hz224453,04/13/2016 02:04:00 PM,sidewalk,False,1021,10.0,24.0,29.0,41.860116574,-87.714019255
hz226169,04/14/2016 06:23:00 PM,sidewalk,False,934,9.0,20.0,61.0,41.796597359,-87.65007533
hz228751,04/16/2016 06:03:00 PM,sidewalk,False,1132,11.0,24.0,29.0,41.867031325,-87.728810462
hz230219,04/17/2016 10:13:00 PM,street,False,323,3.0,6.0,69.0,41.762995704,-87.618414644
hz233837,04/20/2016 06:53:00 PM,sidewalk,False,1021,10.0,24.0,29.0,41.86008694,-87.711582031
hz234563,04/21/2016 11:21:00 AM,street,False,1034,10.0,12.0,30.0,41.847382717,-87.693405334
hz235434,04/22/2016 01:48:00 AM,alley,False,932,9.0,16.0,61.0,41.801211381,-87.676095489
hz235188,04/22/2016 06:17:00 AM,street,False,2532,25.0,37.0,25.0,41.910093946,-87.76423872
hz238593,04/24/2016 07:07:00 PM,street,False,2524,25.0,35.0,22.0,41.93008761,-87.717800618
hz239755,04/25/2016 04:16:00 PM,alley,False,1024,10.0,22.0,30.0,41.848956126,-87.710045526
hz241176,04/26/2016 06:02:00 PM,auto,False,934,9.0,20.0,61.0,41.794257836,-87.648919345
hz241439,04/26/2016 08:02:00 PM,sidewalk,False,1111,11.0,28.0,25.0,41.893189657,-87.744151418
hz246022,04/30/2016 01:20:00 PM,parking_lot,False,225,2.0,3.0,37.0,41.795991039,-87.630542489
hz249040,05/02/2016 11:06:00 PM,street,False,2525,25.0,30.0,20.0,41.917623388,-87.726576932
hz256874,05/09/2016 01:30:00 AM,apartment,True,221,2.0,4.0,39.0,41.812505323,-87.604434996
hz260769,05/11/2016 08:04:00 PM,sidewalk,False,323,3.0,6.0,69.0,41.765472826,-87.624457282
hz263386,05/13/2016 06:53:00 PM,sidewalk,False,1235,12.0,25.0,31.0,41.856006858,-87.664794259
hz264704,05/14/2016 07:30:00 PM,street,False,1434,14.0,1.0,24.0,41.91212114,-87.688791254
hz264691,05/14/2016 08:24:00 PM,parking_lot,False,312,3.0,20.0,69.0,41.776150283,-87.615522623
hz267495,05/16/2016 10:50:00 PM,street,False,1722,17.0,39.0,16.0,41.959984181,-87.728326087
hz267576,05/17/2016 12:54:00 AM,cha_parking_lot_grounds,False,1931,19.0,1.0,7.0,41.930895594,-87.678815744
hz267818,05/17/2016 09:31:00 AM,sidewalk,False,314,3.0,20.0,42.0,41.781569771,-87.594666037
hz269688,05/18/2016 03:02:00 PM,street,False,1222,12.0,27.0,27.0,41.885421196,-87.704402968
hz271793,05/20/2016 05:55:00 AM,house,False,322,3.0,6.0,69.0,41.768633353,-87.618553668
hz273076,05/21/2016 12:59:00 AM,street,False,225,2.0,3.0,40.0,41.794289231,-87.626013772
hz274059,05/21/2016 07:31:00 PM,street,False,522,5.0,34.0,53.0,41.684748514,-87.632468293
hz274048,05/21/2016 08:04:00 PM,street,False,733,7.0,6.0,68.0,41.766253559,-87.650507353
hz278320,05/24/2016 09:00:00 PM,street,False,232,2.0,20.0,40.0,41.790394439,-87.617490568
hz279606,05/25/2016 06:30:00 PM,residence_porch_hallway,False,621,6.0,17.0,71.0,41.755499029,-87.647806657
hz280709,05/26/2016 03:21:00 PM,barber_shop_beauty_salon,False,724,7.0,16.0,68.0,41.779620514,-87.653661615
hx361779,05/26/2016 08:22:00 PM,street,False,223,2.0,3.0,38.0,41.809434647,-87.613163078
hz281370,05/27/2016 12:05:00 AM,sidewalk,False,323,3.0,6.0,69.0,41.758360157,-87.617905331
hz281572,05/27/2016 07:30:00 AM,apartment,False,225,2.0,20.0,40.0,41.792117191,-87.624020769
hz283010,05/28/2016 05:28:00 AM,gas_station,False,1622,16.0,38.0,15.0,41.960230099,-87.786080959
hz283676,05/28/2016 05:29:00 PM,street,False,925,9.0,3.0,37.0,41.819108491,-87.632733067
hz284221,05/29/2016 02:05:00 AM,cha_parking_lot_grounds,False,1823,18.0,27.0,8.0,41.899232861,-87.641856339
hz290485,06/02/2016 02:45:00 PM,residence_porch_hallway,False,832,8.0,17.0,66.0,41.76774824,-87.682008981
hz292547,06/03/2016 09:29:00 PM,parking_lot_garage_non_resid__,False,434,4.0,10.0,55.0,41.649146052,-87.559309692
hz293199,06/04/2016 02:43:00 PM,apartment,False,834,8.0,18.0,70.0,41.742482148,-87.702802449
hz293628,06/04/2016 06:52:00 PM,gas_station,False,614,6.0,21.0,71.0,41.736746762,-87.663086773
hz295259,06/06/2016 04:41:00 AM,auto,False,131,1.0,2.0,33.0,41.850118334,-87.623736386
hz295346,06/06/2016 08:06:00 AM,street,False,531,5.0,9.0,49.0,41.686161016,-87.618079734
hz302181,06/10/2016 10:27:00 PM,street,False,424,4.0,10.0,46.0,41.733283156,-87.547005174
hz303310,06/11/2016 06:00:00 PM,house,False,1011,10.0,24.0,29.0,41.865272267,-87.728812348
hz303359,06/11/2016 06:53:00 PM,abandoned_building,False,712,7.0,16.0,68.0,41.784606473,-87.652200971
hz303596,06/11/2016 11:17:00 PM,street,False,934,9.0,20.0,61.0,41.798827063,-87.648918405
hm489058,06/12/2016 07:54:00 PM,hallway,True,1523,15.0,28.0,25.0,41.88290449,-87.758828452
hz306328,06/13/2016 09:20:00 PM,sidewalk,False,931,9.0,16.0,63.0,41.801770459,-87.683681739
hz306529,06/14/2016 03:40:00 AM,street,False,1531,15.0,37.0,25.0,41.893129063,-87.74948127
hz307947,06/14/2016 11:31:00 PM,residence_porch_hallway,False,225,2.0,20.0,40.0,41.792081496,-87.624017496
hz308364,06/15/2016 10:33:00 AM,street,False,1215,12.0,1.0,24.0,41.893718696,-87.667221891
hz309344,06/15/2016 09:50:00 PM,sidewalk,False,332,3.0,5.0,43.0,41.768432535,-87.589512485
hz300630,06/16/2016 01:09:00 PM,street,False,935,9.0,3.0,37.0,41.797216684,-87.633066906
hz313665,06/18/2016 11:45:00 PM,apartment,False,1533,15.0,28.0,25.0,41.878221582,-87.749337912
hz314632,06/19/2016 06:16:00 PM,street,False,314,3.0,20.0,42.0,41.783334618,-87.594708112
hz314673,06/19/2016 07:08:00 PM,apartment,False,723,7.0,16.0,68.0,41.777309867,-87.640802922
hz315026,06/20/2016 03:55:00 AM,tavern,False,725,7.0,17.0,67.0,41.768562042,-87.663180931
hz316318,06/20/2016 08:00:00 PM,sidewalk,False,2223,22.0,21.0,71.0,41.732148453,-87.637430415
hz318177,06/22/2016 04:07:00 AM,gas_station,False,1133,11.0,24.0,27.0,41.87328131,-87.71974488
hz318908,06/22/2016 02:55:00 PM,alley,False,1114,11.0,28.0,26.0,41.883256149,-87.734727818
hz320044,06/23/2016 06:39:00 PM,cta__l__train,False,925,9.0,3.0,37.0,41.809125265,-87.631906508
hz320830,06/23/2016 10:56:00 PM,street,False,726,7.0,15.0,67.0,41.776771525,-87.673837407
hz321765,06/24/2016 05:11:00 PM,street,False,933,9.0,16.0,61.0,41.802482297,-87.656302838
hz323487,06/25/2016 08:51:00 PM,street,False,2023,20.0,48.0,77.0,41.979179498,-87.656490234
hz324361,06/26/2016 02:40:00 PM,apartment,False,221,2.0,4.0,39.0,41.814489708,-87.604478527
hz323373,06/26/2016 09:43:00 PM,street,False,723,7.0,6.0,68.0,41.774323037,-87.642910036
hz326421,06/28/2016 01:37:00 AM,apartment,True,932,9.0,16.0,61.0,41.80128203,-87.668818274
hz327810,06/29/2016 12:33:00 AM,street,False,1111,11.0,28.0,23.0,41.889684072,-87.736482096
hz327811,06/29/2016 12:45:00 AM,residence,False,2522,25.0,30.0,20.0,41.920714531,-87.735689614
hz329181,06/29/2016 11:40:00 PM,parking_lot_garage_non_resid__,False,714,7.0,15.0,67.0,41.779312393,-87.674255
hz329945,06/30/2016 02:27:00 PM,alley,False,713,7.0,16.0,67.0,41.781318258,-87.662366166
hz330865,07/01/2016 07:10:00 AM,sidewalk,False,711,7.0,3.0,68.0,41.791866725,-87.641449336
hz333099,07/02/2016 07:37:00 PM,sidewalk,False,2212,22.0,19.0,75.0,41.678359282,-87.678943009
hz335773,07/05/2016 01:36:00 AM,street,False,1112,11.0,27.0,23.0,41.901596004,-87.720179151
hz336440,07/05/2016 01:45:00 PM,street,False,422,4.0,7.0,46.0,41.747420231,-87.556455681
hz337352,07/05/2016 11:35:00 PM,sidewalk,False,931,9.0,20.0,61.0,41.805913407,-87.673410249
hz337569,07/06/2016 07:24:00 AM,gas_station,False,423,4.0,7.0,46.0,41.7335097,-87.560576484
hz338406,07/06/2016 05:41:00 PM,sidewalk,False,712,7.0,16.0,68.0,41.7898811,-87.649908305
hz338757,07/06/2016 10:33:00 PM,street,False,512,5.0,34.0,49.0,41.701595778,-87.631538348
hz342252,07/09/2016 02:12:00 PM,residence,False,632,6.0,6.0,44.0,41.733817783,-87.610879579
hz342785,07/09/2016 10:40:00 PM,residential_yard__front_back_,False,1121,11.0,27.0,23.0,41.899786826,-87.716457119
hz342788,07/10/2016 12:03:00 AM,park_property,False,724,7.0,17.0,67.0,41.775519362,-87.654390481
hz344119,07/11/2016 07:00:00 AM,apartment,True,222,2.0,4.0,39.0,41.803060829,-87.585426093
hz345216,07/11/2016 07:54:00 PM,street,False,933,9.0,20.0,61.0,41.803361324,-87.648576736
hz345903,07/12/2016 11:50:00 AM,street,False,2234,22.0,34.0,75.0,41.695457994,-87.644907542
hz325633,07/14/2016 09:55:00 PM,street,False,522,5.0,34.0,49.0,41.686271921,-87.632517658
hz351065,07/16/2016 04:12:00 AM,residential_yard__front_back_,False,1123,11.0,28.0,27.0,41.88360569,-87.707634031
hz353327,07/18/2016 01:14:00 AM,street,False,1533,15.0,28.0,25.0,41.87671154,-87.750820421
hz355873,07/19/2016 07:40:00 PM,street,False,332,3.0,5.0,43.0,41.772616417,-87.583844254
hz356251,07/20/2016 05:58:00 AM,street,False,823,8.0,15.0,66.0,41.780790639,-87.703941533
hz357503,07/20/2016 10:18:00 PM,street,False,1012,10.0,24.0,29.0,41.858795087,-87.730238921
hz356220,07/21/2016 11:15:00 AM,street,False,2412,24.0,50.0,2.0,41.999558966,-87.689108951
hz358117,07/21/2016 11:29:00 AM,sidewalk,False,1524,15.0,37.0,25.0,41.901112239,-87.758217126
hz360647,07/23/2016 04:35:00 AM,sidewalk,False,1134,11.0,28.0,29.0,41.867731301,-87.700820561
hz362044,07/24/2016 09:07:00 AM,house,False,1511,15.0,29.0,25.0,41.8955728,-87.767849643
hz363696,07/25/2016 01:27:00 PM,street,False,1132,11.0,24.0,29.0,41.866112237,-87.729377157
hz363985,07/25/2016 05:00:00 PM,auto,False,322,3.0,20.0,69.0,41.773686818,-87.622731804
hz364397,07/25/2016 08:47:00 PM,sidewalk,False,924,9.0,20.0,61.0,41.809596519,-87.671076242
hz365164,07/26/2016 12:22:00 PM,sidewalk,False,823,8.0,15.0,66.0,41.778123668,-87.694581962
hz366724,07/27/2016 02:08:00 PM,auto,False,726,7.0,17.0,67.0,41.769345528,-87.674327704
hz368971,07/28/2016 10:56:00 PM,sidewalk,False,1532,15.0,28.0,25.0,41.8884167,-87.75046436
hz369470,07/29/2016 10:52:00 AM,street,False,1914,19.0,46.0,3.0,41.967679674,-87.657612155
hz370217,07/29/2016 08:09:00 PM,residence,False,413,4.0,8.0,48.0,41.729155473,-87.574311736
hz370505,07/30/2016 01:31:00 AM,park_property,False,1925,19.0,46.0,6.0,41.949283608,-87.643036076
hz371500,07/30/2016 07:55:00 PM,auto,False,321,3.0,20.0,42.0,41.774125258,-87.609441256
hz395736,08/01/2016 02:42:00 PM,street,False,712,7.0,16.0,68.0,41.783024048,-87.647300883
hz374342,08/01/2016 08:30:00 PM,alley,False,1924,19.0,44.0,6.0,41.940286794,-87.658982052
hz375866,08/02/2016 09:47:00 PM,house,False,725,7.0,17.0,67.0,41.772256604,-87.659553528
hz376037,08/03/2016 07:34:00 AM,street,False,834,8.0,18.0,70.0,41.738544675,-87.720157115
hz379020,08/05/2016 09:01:00 AM,other,False,332,3.0,5.0,43.0,41.770988374,-87.586268005
hz380183,08/06/2016 12:47:00 AM,street,False,2413,24.0,50.0,2.0,41.99784988,-87.682879495
hz381315,08/06/2016 08:45:00 PM,park_property,False,1022,10.0,12.0,29.0,41.858548,-87.695672747
hz383773,08/08/2016 05:07:00 PM,street,False,511,5.0,9.0,49.0,41.71380401,-87.630881809
hz383992,08/08/2016 08:03:00 PM,street,False,1133,11.0,24.0,26.0,41.870493379,-87.72287767
hz378630,08/09/2016 05:51:00 AM,street,False,1131,11.0,24.0,26.0,41.876009104,-87.739054809
hz384930,08/09/2016 02:56:00 PM,vacant_lot,False,712,7.0,16.0,68.0,41.791555007,-87.653590558
hz385336,08/09/2016 06:23:00 PM,street,False,1513,15.0,29.0,25.0,41.876139028,-87.764716307
hz385494,08/09/2016 08:30:00 PM,retail_store,False,2424,24.0,49.0,1.0,42.013796364,-87.679982964
hz388948,08/12/2016 12:51:00 PM,street,False,2514,25.0,31.0,19.0,41.931392034,-87.757107294
hz391017,08/13/2016 10:30:00 PM,street,False,2234,22.0,34.0,75.0,41.687366059,-87.648307118
hz391108,08/14/2016 12:45:00 AM,street,False,835,8.0,18.0,70.0,41.74441593,-87.696656735
hz391953,08/14/2016 04:48:00 PM,park_property,False,2222,22.0,21.0,73.0,41.728640996,-87.653437247
hz393886,08/16/2016 04:45:00 AM,auto,False,2522,25.0,31.0,19.0,41.918701879,-87.750416652
hz391550,08/16/2016 05:20:00 AM,house,True,1014,10.0,24.0,29.0,41.858328523,-87.722442751
hz395227,08/16/2016 10:01:00 PM,street,False,511,5.0,9.0,49.0,41.708718575,-87.611365758
hz399559,08/20/2016 02:50:00 AM,street,False,1722,17.0,38.0,16.0,41.955947624,-87.73254071
hz400689,08/20/2016 11:45:00 PM,apartment,True,2422,24.0,49.0,1.0,42.021148122,-87.669952775
hz400709,08/21/2016 01:30:00 AM,street,False,1133,11.0,24.0,29.0,41.867163535,-87.718562466
hz401759,08/21/2016 07:50:00 PM,street,False,2531,25.0,29.0,25.0,41.910065588,-87.767942177
hz402318,08/22/2016 11:07:00 AM,apartment,True,133,1.0,2.0,35.0,41.845105566,-87.622121892
hz403466,08/23/2016 01:34:00 AM,apartment,False,422,4.0,7.0,46.0,41.747543344,-87.563739255
hz404462,08/23/2016 06:09:00 PM,auto,False,1032,10.0,22.0,30.0,41.844063211,-87.705028372
hz404812,08/24/2016 12:53:00 AM,parking_lot_garage_non_resid__,False,1221,12.0,27.0,23.0,41.890703831,-87.70640419
hz408132,08/26/2016 04:00:00 PM,street,False,312,3.0,20.0,69.0,41.778381424,-87.617286886
hz408269,08/26/2016 04:35:00 PM,street,False,523,5.0,34.0,53.0,41.671413197,-87.636888082
hy547060,08/26/2016 11:15:00 PM,street,False,711,7.0,20.0,68.0,41.786616545,-87.632786263
hz408788,08/27/2016 09:16:00 AM,house,False,934,9.0,16.0,61.0,41.795211551,-87.662188272
hz409724,08/27/2016 05:52:00 PM,sidewalk,False,532,5.0,9.0,53.0,41.6762157,-87.621641686
hz410391,08/28/2016 10:19:00 AM,alley,False,132,1.0,2.0,33.0,41.85744665,-87.623923346
hz411320,08/29/2016 12:55:00 AM,apartment,True,522,5.0,34.0,49.0,41.689821778,-87.626478351
hz415486,08/31/2016 10:19:00 PM,street,False,833,8.0,13.0,65.0,41.774524083,-87.725093677
hz418497,09/03/2016 03:30:00 AM,alley,False,1223,12.0,2.0,28.0,41.884177138,-87.677261992
hz420540,09/04/2016 07:01:00 PM,street,False,934,9.0,20.0,61.0,41.798906664,-87.648921225
hz421030,09/05/2016 08:20:00 AM,nursing_home,False,421,4.0,7.0,43.0,41.754724423,-87.554667078
hz421109,09/05/2016 09:32:00 AM,apartment,False,723,7.0,6.0,68.0,41.77016713,-87.64319288
hz421474,09/05/2016 03:19:00 PM,residential_yard__front_back_,False,934,9.0,20.0,61.0,41.797783676,-87.649285243
hz421541,09/05/2016 04:14:00 PM,auto,False,924,9.0,20.0,61.0,41.811289674,-87.668689172
hz422091,09/06/2016 01:45:00 AM,alley,False,1524,15.0,37.0,25.0,41.897963514,-87.760746774
hz422595,09/06/2016 12:10:00 PM,residential_yard__front_back_,False,831,8.0,18.0,66.0,41.765568228,-87.693053349
hz423775,09/07/2016 07:55:00 AM,sidewalk,False,2524,25.0,31.0,20.0,41.931070416,-87.739231222
hz425569,09/08/2016 01:10:00 PM,auto,False,1523,15.0,28.0,25.0,41.884923991,-87.757679269
hz427269,09/09/2016 04:46:00 PM,street,False,511,5.0,9.0,49.0,41.708487135,-87.620007718
hz427702,09/09/2016 10:41:00 PM,street,False,1733,17.0,35.0,21.0,41.946579196,-87.71197743
hz427779,09/10/2016 03:30:00 AM,street,False,1423,14.0,26.0,24.0,41.902979118,-87.691065209
hz429679,09/11/2016 03:47:00 PM,street,False,2534,25.0,30.0,23.0,41.910662034,-87.728803085
hz432824,09/13/2016 06:35:00 PM,street,False,1634,16.0,38.0,15.0,41.947024331,-87.748122241
hz435592,09/15/2016 05:48:00 PM,residence,False,633,6.0,9.0,44.0,41.726557022,-87.608374621
hz436123,09/16/2016 06:28:00 AM,house,False,1234,12.0,25.0,31.0,41.853956955,-87.67958241
hz437275,09/16/2016 08:35:00 PM,street,False,1524,15.0,37.0,25.0,41.89367087,-87.75677801
hz438933,09/18/2016 04:50:00 AM,street,False,1824,18.0,42.0,8.0,41.90388908,-87.632229413
hz440510,09/19/2016 11:40:00 AM,street,False,533,5.0,9.0,54.0,41.65675095,-87.605132705
hz441256,09/19/2016 07:20:00 PM,sidewalk,False,835,8.0,18.0,70.0,41.755423633,-87.682987544
hz442712,09/20/2016 08:24:00 PM,sidewalk,False,624,6.0,8.0,44.0,41.749502746,-87.601106068
hz442931,09/21/2016 12:58:00 AM,street,False,523,5.0,34.0,53.0,41.669674511,-87.641635676
hz442931,09/21/2016 01:06:00 AM,street,False,523,5.0,34.0,53.0,41.669674511,-87.641635676
hz442949,09/21/2016 01:39:00 AM,gas_station,False,1134,11.0,24.0,27.0,41.873635421,-87.710081187
hz443570,09/21/2016 02:36:00 PM,vacant_lot,False,232,2.0,20.0,40.0,41.79102539,-87.624978891
hz446923,09/23/2016 08:44:00 PM,park_property,False,712,7.0,16.0,68.0,41.791630829,-87.65481088
hz448897,09/25/2016 11:20:00 AM,alley,False,313,3.0,20.0,42.0,41.78166509,-87.602705494
hz448213,09/25/2016 05:52:00 PM,street,False,114,1.0,42.0,32.0,41.881423,-87.624344893
hz449829,09/26/2016 03:29:00 AM,alley,False,1424,14.0,1.0,24.0,41.909355924,-87.678293726
hz450909,09/26/2016 07:11:00 PM,street,False,923,9.0,14.0,63.0,41.800332704,-87.691537449
hz451639,09/27/2016 11:55:00 AM,street,False,1132,11.0,24.0,26.0,41.875288193,-87.724025385
hz451757,09/27/2016 01:20:00 PM,sidewalk,False,422,4.0,7.0,46.0,41.75122688,-87.560162461
hz454488,09/29/2016 02:54:00 PM,street,False,712,7.0,16.0,68.0,41.790534163,-87.654059715
hz457641,10/01/2016 11:13:00 PM,alley,False,725,7.0,17.0,67.0,41.771272206,-87.661565398
hz458845,10/03/2016 03:34:00 AM,apartment,False,1512,15.0,29.0,25.0,41.883209435,-87.764962093
hz459799,10/03/2016 06:05:00 PM,residential_yard__front_back_,True,1423,14.0,26.0,24.0,41.909207482,-87.690877871
hz466758,10/08/2016 07:28:00 PM,street,False,2412,24.0,50.0,2.0,41.997824864,-87.684277713
hz467795,10/09/2016 08:28:00 PM,street,False,1132,11.0,28.0,26.0,41.876196845,-87.724082848
hz470314,10/11/2016 06:09:00 PM,street,False,2524,25.0,31.0,20.0,41.927799934,-87.73670756
hz473207,10/13/2016 07:53:00 PM,vehicle_non_commercial,False,324,3.0,5.0,69.0,41.758689912,-87.594558298
hz473291,10/13/2016 10:22:00 PM,gas_station,False,734,7.0,17.0,67.0,41.76573639,-87.66381882
hz474617,10/14/2016 09:35:00 PM,street,False,2413,24.0,50.0,2.0,41.99106445,-87.69576803
hz475009,10/15/2016 07:25:00 AM,street,False,1034,10.0,24.0,30.0,41.850130656,-87.691605154
hz476561,10/16/2016 01:05:00 PM,street,False,634,6.0,21.0,49.0,41.72169837,-87.625345212
hz477075,10/16/2016 08:58:00 PM,sidewalk,False,1733,17.0,33.0,16.0,41.947285115,-87.7090629
hz478467,10/17/2016 09:18:00 PM,street,False,726,7.0,15.0,67.0,41.771357512,-87.672488834
hz479826,10/18/2016 08:04:00 PM,porch,True,533,5.0,9.0,54.0,41.659114092,-87.614328029
hz484300,10/22/2016 09:45:00 AM,street,False,931,9.0,16.0,61.0,41.804795231,-87.677023491
hz485272,10/23/2016 02:25:00 AM,vacant_lot,False,1021,10.0,24.0,29.0,41.860007841,-87.709141619
hz485486,10/23/2016 08:22:00 AM,house,False,312,3.0,20.0,42.0,41.774279153,-87.614282368
hn329056,10/24/2016 12:01:00 AM,apartment,False,231,2.0,3.0,40.0,41.801131542,-87.61772683
hz493050,10/28/2016 06:23:00 PM,street,False,231,2.0,20.0,40.0,41.792911599,-87.622013438
hz492467,10/28/2016 09:00:00 PM,auto,False,726,7.0,15.0,67.0,41.776848381,-87.673840285
hz493319,10/28/2016 11:02:00 PM,gas_station_drive_prop_,False,932,9.0,16.0,61.0,41.793924612,-87.673580917
hz493522,10/29/2016 02:45:00 AM,street,False,1933,19.0,44.0,6.0,41.935600248,-87.653959551
hz494596,10/29/2016 03:38:00 AM,restaurant,False,621,6.0,17.0,71.0,41.750655089,-87.643182039
hz494869,10/30/2016 03:06:00 AM,house,True,434,4.0,10.0,51.0,41.700104464,-87.560771495
hz494931,10/30/2016 03:33:00 AM,sidewalk,False,332,3.0,5.0,43.0,41.76972749,-87.583547963
hz496623,10/31/2016 01:15:00 PM,apartment,False,524,5.0,34.0,53.0,41.671606006,-87.642918034
hz500019,11/02/2016 07:30:00 PM,street,False,1124,11.0,28.0,27.0,41.879609758,-87.701562697
hz500144,11/02/2016 09:52:00 PM,street,False,835,8.0,18.0,66.0,41.760181773,-87.686791677
hz502115,11/04/2016 12:50:00 PM,street,False,1125,11.0,27.0,28.0,41.876826437,-87.690075016
hz505589,11/06/2016 11:37:00 PM,street,False,632,6.0,6.0,44.0,41.743182732,-87.605010707
hz506884,11/07/2016 10:42:00 PM,street,False,1522,15.0,29.0,25.0,41.873641189,-87.757442724
hz504521,11/08/2016 09:39:00 AM,auto,False,821,8.0,14.0,58.0,41.808069268,-87.70803582
hz507464,11/08/2016 11:18:00 AM,street,False,1135,11.0,28.0,27.0,41.871957714,-87.697389983
hz507487,11/08/2016 12:18:00 PM,apartment,False,931,9.0,20.0,61.0,41.807551687,-87.671016607
hz513356,11/13/2016 02:37:00 AM,gas_station,False,1533,15.0,28.0,25.0,41.880487595,-87.745964635
hz514280,11/13/2016 09:29:00 PM,parking_lot_garage_non_resid__,False,1014,10.0,24.0,29.0,41.851558186,-87.723945996
hz520698,11/18/2016 04:42:00 PM,street,False,421,4.0,7.0,43.0,41.75291741,-87.562619593
hz522447,11/20/2016 04:11:00 AM,apartment,False,623,6.0,6.0,69.0,41.752204513,-87.62141126
hz522475,11/20/2016 07:43:00 AM,street,False,2412,24.0,50.0,2.0,41.997704063,-87.691588808
hz524465,11/21/2016 08:06:00 PM,apartment,False,914,9.0,25.0,34.0,41.850965083,-87.632925101
hz526528,11/23/2016 12:35:00 PM,parking_lot_garage_non_resid__,False,1422,14.0,26.0,23.0,41.910066171,-87.71075927
hz527500,11/24/2016 03:20:00 AM,sidewalk,False,2012,20.0,40.0,77.0,41.978548967,-87.672138346
hz528062,11/24/2016 08:36:00 PM,street,False,2521,25.0,31.0,19.0,41.927871326,-87.749528394
hz528346,11/25/2016 07:37:00 AM,street,False,532,5.0,9.0,53.0,41.673554115,-87.616411124
hz529243,11/26/2016 12:41:00 AM,street,False,2525,25.0,26.0,22.0,41.920862038,-87.723555264
hz532460,11/28/2016 07:13:00 PM,street,False,725,7.0,16.0,67.0,41.778938708,-87.664205796
hz537737,12/02/2016 08:32:00 PM,street,False,1011,10.0,24.0,29.0,41.8634377,-87.723873589
hz538453,12/03/2016 01:05:00 PM,apartment,False,723,7.0,16.0,68.0,41.777142114,-87.647147267
hz542254,12/06/2016 02:48:00 PM,apartment,False,831,8.0,15.0,66.0,41.77172152,-87.699590788
hz542408,12/06/2016 04:56:00 PM,street,False,2222,22.0,21.0,71.0,41.735479162,-87.653324829
hz543434,12/07/2016 02:39:00 PM,apartment,False,724,7.0,17.0,68.0,41.773438861,-87.654335436
hz528180,12/12/2016 02:22:00 AM,hallway,False,2532,25.0,37.0,25.0,41.910414161,-87.756913923
hz554339,12/16/2016 08:51:00 PM,auto,False,814,8.0,23.0,56.0,41.79934361,-87.757605978
hz554433,12/16/2016 10:35:00 PM,street,False,1631,16.0,36.0,17.0,41.948867911,-87.808767445
hz554581,12/17/2016 02:20:00 AM,street,False,1111,11.0,37.0,23.0,41.90161656,-87.735000833
hz554936,12/17/2016 12:40:00 PM,house,False,512,5.0,34.0,49.0,41.703478083,-87.626563168
hz554936,12/17/2016 01:25:00 PM,house,False,512,5.0,34.0,49.0,41.703478083,-87.626563168
hz555341,12/17/2016 06:36:00 PM,cha_parking_lot_grounds,False,424,4.0,7.0,46.0,41.735088761,-87.545781422
hz555658,12/18/2016 01:53:00 AM,vehicle_commercial,False,1925,19.0,46.0,3.0,41.954661518,-87.644283155
hz561637,12/22/2016 05:23:00 PM,apartment,False,533,5.0,9.0,54.0,41.655614877,-87.613861965
hz562268,12/23/2016 08:37:00 AM,sidewalk,False,825,8.0,16.0,66.0,41.778454724,-87.688507305
hz564127,12/24/2016 07:12:00 PM,apartment,False,323,3.0,6.0,69.0,41.76148143,-87.621601951
hz565679,12/26/2016 04:26:00 PM,sidewalk,False,1132,11.0,24.0,26.0,41.86998618,-87.728676148
hz565767,12/26/2016 10:30:00 PM,street,False,924,9.0,15.0,61.0,41.813051776,-87.668736983
hj268455,12/27/2016 02:20:00 AM,house,False,1112,11.0,27.0,23.0,41.89440789,-87.723608625
hz568268,12/29/2016 01:14:00 AM,street,False,1512,15.0,29.0,25.0,41.883209435,-87.764962093
hz569207,12/29/2016 05:12:00 PM,residence_porch_hallway,False,232,2.0,20.0,40.0,41.786669879,-87.6174
hz569794,12/30/2016 09:25:00 AM,office,False,815,8.0,14.0,56.0,41.815750197,-87.74218377
ja105544,01/05/2017 07:09:00 PM,street,False,132,1.0,2.0,33.0,41.855026964,-87.622268928
ja107924,01/08/2017 12:01:00 AM,sidewalk,True,1634,16.0,38.0,15.0,41.942462639,-87.74796547
ja111211,01/10/2017 09:10:00 PM,street,False,1012,10.0,24.0,29.0,41.860115962,-87.733552393
ja111925,01/11/2017 01:54:00 PM,street,False,932,9.0,16.0,61.0,41.798562129,-87.665923432
ja115398,01/14/2017 12:33:00 AM,restaurant,False,1013,10.0,22.0,29.0,41.850933613,-87.725192528
ja119294,01/17/2017 02:48:00 PM,street,False,532,5.0,9.0,53.0,41.675385014,-87.616039405
