CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hw507691,10/26/2013 03:05:00 AM,residential_yard__front_back_,False,2512,25.0,29.0,19.0,41.918889787,-87.784079074
hw529757,11/11/2013 03:43:00 PM,street,False,1913,19.0,46.0,3.0,41.967734838,-87.664219355
hw546839,11/25/2013 03:23:00 AM,street,False,1124,11.0,28.0,27.0,41.877391038,-87.700317732
hw554326,12/01/2013 12:45:00 PM,street,False,2233,22.0,34.0,49.0,41.693254937,-87.636363264
hw563459,12/08/2013 02:48:00 PM,street,False,711,7.0,20.0,68.0,41.784481529,-87.634144157
hw567559,12/12/2013 04:45:00 AM,street,False,1422,14.0,35.0,22.0,41.917031177,-87.710280067
hw570213,12/14/2013 01:25:00 AM,hallway,False,1512,15.0,29.0,25.0,41.886275336,-87.765078145
hw574861,12/18/2013 02:15:00 AM,cta_platform,False,2033,20.0,48.0,3.0,41.973263481,-87.658435722
hw576296,12/19/2013 05:20:00 AM,auto,False,332,3.0,5.0,43.0,41.772825015,-87.583849157
hw577067,12/19/2013 05:13:00 PM,street,False,1511,15.0,29.0,25.0,41.894844546,-87.765971847
hw579790,12/21/2013 07:20:00 PM,street,False,623,6.0,17.0,44.0,41.750615278,-87.625808133
hx100935,01/01/2014 08:50:00 PM,alley,False,2532,25.0,37.0,25.0,41.911837841,-87.760637487
hx102820,01/03/2014 08:10:00 PM,street,False,434,4.0,10.0,51.0,41.698498893,-87.560750433
hx105434,01/06/2014 11:12:00 PM,apartment,True,823,8.0,15.0,66.0,41.779056401,-87.697491099
hx107078,01/08/2014 05:24:00 PM,street,False,825,8.0,15.0,66.0,41.776950596,-87.686022023
hx111217,01/12/2014 12:05:00 AM,apartment,False,313,3.0,20.0,42.0,41.781617685,-87.610830908
hx112667,01/13/2014 10:48:00 AM,street,False,733,7.0,6.0,68.0,41.764208187,-87.644385708
hx116936,01/18/2014 05:45:00 AM,street,False,825,8.0,15.0,66.0,41.780592853,-87.686124717
hx119153,01/18/2014 01:09:00 PM,sidewalk,False,934,9.0,16.0,61.0,41.798519354,-87.664702622
hx121804,01/21/2014 04:42:00 AM,street,False,1624,16.0,45.0,15.0,41.959055616,-87.753115331
hx123785,01/22/2014 03:30:00 PM,alley,False,414,4.0,8.0,43.0,41.758896804,-87.574511142
hx126764,01/25/2014 12:52:00 AM,tavern,False,935,9.0,3.0,61.0,41.801173,-87.642885948
hx128524,01/26/2014 04:48:00 PM,street,False,1031,10.0,22.0,30.0,41.838688195,-87.727693803
hx130069,01/28/2014 07:55:00 AM,street,False,1112,11.0,27.0,23.0,41.901367155,-87.718950781
hx130273,01/28/2014 11:30:00 AM,alley,False,1115,11.0,28.0,26.0,41.878823333,-87.72932358
hx131480,01/29/2014 01:37:00 PM,apartment,False,624,6.0,6.0,69.0,41.751254843,-87.606920408
hx131767,01/29/2014 03:23:00 PM,apartment,False,314,3.0,5.0,42.0,41.778047465,-87.586387726
hx132529,01/30/2014 07:45:00 AM,street,False,1112,11.0,27.0,23.0,41.899557666,-87.721326327
hx132617,01/30/2014 09:14:00 AM,sidewalk,False,825,8.0,15.0,66.0,41.779235136,-87.685276782
hx139648,02/05/2014 04:21:00 AM,apartment,False,2533,25.0,37.0,25.0,41.902832842,-87.748430443
hx142789,02/07/2014 01:52:00 PM,house,False,922,9.0,12.0,58.0,41.812023326,-87.687616836
hx144647,02/09/2014 05:30:00 AM,street,False,1113,11.0,28.0,26.0,41.879601631,-87.739113326
hx145191,02/09/2014 04:14:00 PM,street,False,1233,12.0,2.0,28.0,41.864276646,-87.659858479
hx150373,02/13/2014 09:00:00 PM,alley,False,1512,15.0,29.0,25.0,41.886275336,-87.765078145
hx150821,02/14/2014 10:10:00 AM,nursing_home,False,712,7.0,16.0,68.0,41.781326622,-87.647516964
hx150345,02/15/2014 04:38:00 PM,apartment,False,332,3.0,5.0,43.0,41.769167875,-87.584423262
hx156332,02/19/2014 01:20:00 AM,street,False,631,6.0,8.0,44.0,41.745815403,-87.603419909
hx158889,02/21/2014 06:41:00 AM,apartment,False,424,4.0,7.0,46.0,41.742527775,-87.54887474
hx160329,02/22/2014 05:45:00 AM,street,False,915,9.0,3.0,34.0,41.826609817,-87.633836383
hx161193,02/22/2014 08:57:00 PM,sidewalk,False,511,5.0,21.0,49.0,41.72091035,-87.631093797
hx166613,02/27/2014 04:21:00 PM,apartment,True,1133,11.0,24.0,26.0,41.869546445,-87.722846293
hx167048,02/28/2014 12:36:00 AM,apartment,True,934,9.0,16.0,61.0,41.795211551,-87.662188272
hx168322,03/01/2014 02:43:00 AM,barbershop,False,2221,22.0,21.0,73.0,41.729363336,-87.662877775
hx169429,03/02/2014 02:40:00 AM,street,False,612,6.0,21.0,71.0,41.747664827,-87.654874605
hx168924,03/04/2014 01:30:00 PM,apartment,False,234,2.0,4.0,41.0,41.801307936,-87.584690956
