CASE_NUMBER,NUM_CRIMES_DISTRICT,NUM_CRIMES_BEAT,NUM_CRIMES_COMM_AREA,NUM_CRIMES_WARD,NUM_CRIMES_BLOCK,NUM_CRIMES_ZIP_CODE,NUM_CRIMES_STREET_ORG,AREA_INCOME,AREA_ASSAULT_HOMICIDE,AREA_FIREARM,AREA_POVERTY_HEALTH,AREA_HIGH_SCHOOL_DIPLOMA,AREA_UNEMPLOYMENT,AREA_BIRTH_RATE,NUM_OF_DEAD,NUM_OF_ARREST,NUM_OF_VICTIMS,IS_DOMESTIC,NIGHT_CRIME,IS_KILLED_A_CHILD,MULTIPLE_ARRESTS,HAS_STREET_ORGANIZATION,IS_RATIAL,ARRESTED_RACE,VICTIM_RACE,AVER_AGE,AVG_NUM_CHARGES,IMMEDIATE_ARREST,IS_HOMICIDE
jd247925,142,15,50,26,1,93,53,15246,7.0,5.5,18.6,37.0,11.5,20.0,1,1,1,0,0,0,0,1,1,_1142,_1140,35.0,1.0,0,1
jd248484,150,14,80,107,1,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,1,1,1,1,0,0,0,1,0,_1142,_1140,35.0,1.0,0,1
jd248674,106,11,37,126,1,132,26,13087,44.6,39.5,39.1,28.3,23.2,19.3,0,1,1,0,0,0,0,1,0,_1142,_1140,,2.0,0,0
jd248956,165,16,83,69,1,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,1,2,1,0,0,1,1,1,1,mixed,_1140,10.0,1.5,0,1
jd248810,213,29,104,118,3,302,202,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,2,0,0,1,0,1,0,_1142,mixed,17.5,2.0,0,1
jd248976,174,34,244,196,5,645,567,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,3,0,0,0,0,1,0,_1142,mixed,20.0,4.0,0,1
jd249088,295,29,99,196,1,235,117,10951,40.0,36.0,40.3,26.2,25.2,20.1,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
jd250234,165,8,21,28,1,63,0,12014,10.8,11.1,20.8,54.1,14.0,21.8,1,5,1,0,0,0,1,0,1,mixed,_1140,45.0,1.8,0,1
jd250291,147,12,101,76,1,117,0,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,1,1,0,0,0,0,0,0,_1142,_1140,25.0,1.0,0,1
jd250528,106,7,37,126,1,132,26,13087,44.6,39.5,39.1,28.3,23.2,19.3,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,4.0,0,0
jd249292,213,10,104,126,2,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
jd252220,213,14,99,107,1,304,4,10559,47.2,39.3,32.3,30.3,34.7,20.3,0,1,2,0,0,0,0,1,1,_1142,mixed,22.5,1.0,0,0
jd254045,147,13,55,33,2,121,66,15393,36.9,33.7,28.0,28.2,17.7,18.1,1,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,1
jd254764,295,25,115,100,2,534,450,13391,29.0,22.7,32.6,36.8,12.3,19.2,0,1,3,0,0,0,0,1,0,_1142,mixed,35.0,1.0,0,0
jd256319,142,20,56,95,1,145,30,16228,43.9,46.5,24.3,22.6,17.0,15.3,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,1
jd258149,142,26,27,90,1,32,32,8535,33.0,32.8,61.4,24.6,26.4,12.5,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
jd258890,153,21,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,0,1,1,0,0,0,0,1,0,_1142,_1140,45.0,1.0,0,0
jd259358,48,10,44,100,3,32,0,87163,3.7,3.2,13.4,3.4,5.2,10.7,1,1,1,0,0,0,0,0,0,_1142,_1140,35.0,1.0,0,1
jd262397,72,11,25,41,1,120,0,15467,11.7,11.7,27.2,44.3,13.0,16.5,0,1,2,0,0,0,0,0,0,_1142,mixed,25.0,1.0,0,0
jd262632,142,13,115,43,1,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,1
jd263221,153,14,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,0,2,1,0,0,0,1,1,0,mixed,_1140,35.0,2.5,0,0
jd264558,294,42,32,188,4,242,132,28977,19.5,24.5,12.0,11.2,17.2,10.0,2,1,2,1,0,0,0,1,0,_1142,mixed,55.0,3.0,0,1
jd264737,174,34,244,88,1,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,1,1,0,0,0,0,1,0,_1142,_1140,10.0,1.0,0,0
jd264558,294,42,32,188,4,242,132,28977,19.5,24.5,12.0,11.2,17.2,10.0,2,1,2,1,0,0,0,1,0,_1142,mixed,55.0,3.0,0,1
jd265084,147,3,3,33,1,4,26,22561,6.9,13.4,12.1,17.9,9.6,13.7,0,1,1,0,0,0,0,1,1,_1142,_1140,55.0,1.0,0,0
jd265264,106,10,40,87,1,42,32,22056,32.1,25.8,28.3,19.4,20.6,14.3,0,2,1,0,0,0,1,1,0,mixed,_1140,35.0,2.5,0,0
jd266395,142,12,50,26,1,93,53,15246,7.0,5.5,18.6,37.0,11.5,20.0,0,1,1,0,0,0,0,1,1,_1142,_1140,10.0,1.0,0,0
jd268199,180,12,90,126,4,132,0,17213,49.7,44.6,25.6,17.9,18.9,18.2,1,1,1,1,0,0,0,0,0,_1142,_1140,35.0,4.0,0,1
jd268744,179,24,69,76,2,652,0,20320,45.2,37.9,25.3,13.7,19.0,14.4,1,1,4,0,0,0,0,0,1,_1142,mixed,45.0,4.0,0,1
jd269005,179,17,69,76,1,163,15,20320,45.2,37.9,25.3,13.7,19.0,14.4,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,1
jd269510,180,14,101,94,1,117,103,18366,33.4,30.0,31.5,14.9,17.7,15.7,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,0
jd269688,174,34,244,156,2,645,567,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,3,0,0,0,0,1,0,_1142,mixed,38.333333333333336,3.0,0,1
jd269849,213,9,99,69,1,152,81,10559,47.2,39.3,32.3,30.3,34.7,20.3,0,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,0
jd269869,213,12,90,126,1,151,12,17213,49.7,44.6,25.6,17.9,18.9,18.2,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,3.0,0,0
jd270626,294,24,110,188,4,242,0,15393,36.9,33.7,28.0,28.2,17.7,18.1,2,1,2,0,0,1,0,0,0,_1142,mixed,10.0,4.0,0,1
jd270626,294,24,110,188,4,242,0,15393,36.9,33.7,28.0,28.2,17.7,18.1,2,1,2,0,0,1,0,0,0,_1142,mixed,10.0,4.0,0,1
