CASE_NUMBER,NUM_CRIMES_DISTRICT,NUM_CRIMES_BEAT,NUM_CRIMES_COMM_AREA,NUM_CRIMES_WARD,NUM_CRIMES_BLOCK,NUM_CRIMES_ZIP_CODE,NUM_CRIMES_STREET_ORG,AREA_INCOME,AREA_ASSAULT_HOMICIDE,AREA_FIREARM,AREA_POVERTY_HEALTH,AREA_HIGH_SCHOOL_DIPLOMA,AREA_UNEMPLOYMENT,AREA_BIRTH_RATE,NUM_OF_DEAD,NUM_OF_ARREST,NUM_OF_VICTIMS,IS_DOMESTIC,NIGHT_CRIME,IS_KILLED_A_CHILD,MULTIPLE_ARRESTS,HAS_STREET_ORGANIZATION,IS_RATIAL,ARRESTED_RACE,VICTIM_RACE,AVER_AGE,AVG_NUM_CHARGES,IMMEDIATE_ARREST,IS_HOMICIDE
hs227745,142,13,56,90,1,145,0,16228,43.9,46.5,24.3,22.6,17.0,15.3,1,1,1,1,0,0,0,0,0,_4102,_4100,35.0,2.0,0,1
hs335199,153,12,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs440368,142,20,56,95,1,145,30,16228,43.9,46.5,24.3,22.6,17.0,15.3,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs460541,180,23,101,68,2,117,103,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs501948,153,11,52,41,2,60,7,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs586272,44,2,1,16,1,3,0,41509,3.3,6.2,6.1,6.3,5.5,10.0,1,1,1,1,0,0,0,0,0,_1142,_1140,55.0,3.0,0,1
hs600811,213,12,104,126,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs614692,106,7,37,87,1,42,26,13087,44.6,39.5,39.1,28.3,23.2,19.3,1,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,1
ht202574,142,6,3,90,1,145,0,19007,32.2,32.1,20.1,15.6,21.0,14.3,1,1,1,0,0,0,0,0,0,_1142,_1140,35.0,2.0,0,1
ht243538,213,12,90,107,1,151,12,17213,49.7,44.6,25.6,17.9,18.9,18.2,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
ht305737,295,25,244,156,1,430,44,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,2,0,0,0,0,1,0,_1142,mixed,22.5,1.0,0,1
ht383639,213,14,104,126,1,302,202,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,2,0,0,1,0,1,0,_1142,mixed,10.0,1.0,0,1
ht504280,180,17,90,126,2,132,70,17213,49.7,44.6,25.6,17.9,18.9,18.2,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,0
ht575599,72,5,37,27,1,156,0,39596,8.5,6.6,15.7,13.4,6.0,18.8,1,1,4,0,0,1,0,0,0,_1142,mixed,17.5,4.0,0,1
ht598720,213,15,99,107,1,152,81,10559,47.2,39.3,32.3,30.3,34.7,20.3,1,2,1,0,0,0,1,1,0,mixed,_1140,25.0,1.0,0,1
hv213223,213,9,99,69,1,152,81,10559,47.2,39.3,32.3,30.3,34.7,20.3,1,2,1,0,0,0,1,1,0,mixed,_1140,45.0,1.0,0,1
hv272275,24,3,8,14,1,6,0,33364,5.8,3.9,16.6,9.0,9.0,12.1,1,1,1,0,0,0,0,0,0,_1142,_1140,45.0,1.0,0,1
hv273455,72,5,43,43,2,60,0,41488,12.7,9.3,21.6,11.2,10.7,18.2,1,1,1,0,0,0,0,0,0,_1142,_1140,35.0,1.0,0,1
hv278636,142,7,75,95,1,145,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,1,1,1,0,0,0,0,0,0,_1142,_1140,25.0,1.0,0,1
hv315569,165,24,83,118,3,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,0
hv348176,213,12,104,126,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
hv350140,180,17,49,126,2,132,50,18928,31.1,25.0,28.3,17.9,17.3,15.1,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,0
hv436957,153,12,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hv445189,179,24,69,76,1,326,0,20320,45.2,37.9,25.3,13.7,19.0,14.4,1,1,2,0,0,1,0,0,0,_1142,mixed,27.5,2.0,0,1
hv484836,58,15,115,43,1,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hv546172,213,14,104,87,2,151,34,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
hv546216,147,11,18,33,1,121,26,15506,41.3,35.1,24.5,21.9,11.8,15.8,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hv583667,24,7,25,14,2,102,0,32355,5.4,4.6,22.7,13.6,7.7,13.1,1,2,3,0,0,0,1,0,0,mixed,mixed,35.0,3.0,0,1
hw142848,153,12,52,44,2,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,3.0,0,1
hw192261,179,12,75,84,1,161,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,1,2,1,0,0,0,1,0,0,mixed,_1140,45.0,1.5,0,1
hw201999,44,4,19,13,1,12,0,23617,3.3,4.7,12.3,18.7,10.6,14.2,0,1,1,0,0,0,0,0,0,_1142,_1140,35.0,2.0,0,0
hw222058,213,9,99,69,1,152,81,10559,47.2,39.3,32.3,30.3,34.7,20.3,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,0
hw280661,213,17,104,126,1,453,303,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,3,0,0,0,0,1,0,_1142,mixed,31.666666666666668,2.0,0,1
hw289806,295,39,115,100,2,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,3.0,0,1
hw289910,106,6,7,45,1,42,0,39243,5.8,5.0,18.2,5.3,6.9,9.7,1,1,1,1,0,0,0,0,0,_1142,_1140,25.0,1.0,0,1
hw320604,153,21,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,3.0,0,1
hw332417,165,11,12,41,1,60,0,17577,5.1,6.5,16.1,31.8,11.9,16.7,1,1,1,0,0,1,0,0,0,_1142,_1140,10.0,1.0,0,1
hw333884,44,10,18,16,1,22,0,26347,3.7,5.2,8.3,18.0,8.6,12.5,1,1,1,1,0,0,0,0,0,_1142,_1140,25.0,2.0,0,1
hw334016,180,20,90,126,1,815,350,17213,49.7,44.6,25.6,17.9,18.9,18.2,1,1,5,0,0,1,0,1,0,_1142,mixed,16.0,1.0,0,1
hw342105,180,14,101,94,1,117,103,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,3.0,0,1
hw343994,76,8,31,95,1,52,0,19709,38.0,35.6,15.7,15.6,18.3,12.0,1,1,1,0,0,1,0,0,0,_1142,_1140,10.0,3.0,0,1
hw346938,180,20,49,126,3,132,50,18928,31.1,25.0,28.3,17.9,17.3,15.1,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,3.0,0,1
hw347770,295,14,67,43,1,75,16,13596,38.4,37.1,39.7,26.2,16.4,19.4,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hw348957,142,7,75,90,1,145,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,1,1,1,0,0,0,0,0,0,_1142,_1140,65.0,1.0,0,1
hw400791,180,20,49,126,1,132,0,18928,31.1,25.0,28.3,17.9,17.3,15.1,1,1,1,0,0,1,0,0,0,_1142,_1140,10.0,2.0,0,1
hw413159,142,19,75,90,1,145,15,17974,40.9,37.7,19.5,17.4,17.8,14.3,0,1,1,0,0,0,0,1,0,_1142,_1140,10.0,1.0,0,0
hw426623,213,9,99,69,1,152,81,10559,47.2,39.3,32.3,30.3,34.7,20.3,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,1
hw429716,106,12,40,87,1,46,32,22056,32.1,25.8,28.3,19.4,20.6,14.3,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hw430327,165,14,83,118,1,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,1
hw431623,76,11,25,95,1,52,0,26185,19.9,15.8,13.7,10.9,14.9,13.2,1,3,1,0,0,0,1,0,0,mixed,_1140,35.0,1.3333333333333333,0,1
hw433733,213,6,104,118,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,1
hw434870,213,14,104,126,1,151,34,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,2,1,0,0,0,1,1,0,mixed,_1140,25.0,1.0,0,1
hw445591,150,11,12,15,1,108,0,15898,10.7,8.8,15.3,33.4,7.8,18.8,1,2,1,1,0,0,1,0,1,mixed,_1140,35.0,1.5,0,1
hw458811,150,9,4,15,1,216,48,16938,5.9,7.7,9.8,39.6,13.5,20.8,0,1,2,0,0,0,0,1,0,_1142,mixed,25.0,2.0,0,0
hw459159,295,39,115,100,1,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,1
hw459133,179,15,80,84,2,161,46,16022,37.6,32.6,24.5,19.5,24.2,15.1,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hw468490,180,17,101,68,1,132,103,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,3,1,0,0,1,1,1,0,mixed,_1140,10.0,1.0,0,1
hw471141,153,16,120,156,3,185,35,12548,46.7,37.6,38.6,30.4,18.5,20.6,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,0
hw481838,179,16,80,107,1,161,46,16022,37.6,32.6,24.5,19.5,24.2,15.1,1,2,1,0,0,1,1,1,0,mixed,_1140,10.0,3.0,0,1
hw507691,142,15,50,88,1,186,106,15246,7.0,5.5,18.6,37.0,11.5,20.0,0,2,2,0,0,0,1,1,1,mixed,mixed,32.5,2.0,0,0
hw529757,36,6,25,17,1,34,13,32355,5.4,4.6,22.7,13.6,7.7,13.1,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,0
hw546839,295,10,67,196,1,150,54,13596,38.4,37.1,39.7,26.2,16.4,19.4,1,1,2,0,0,0,0,1,0,_1142,mixed,35.0,2.0,0,1
hw554326,76,8,75,95,1,145,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,0,1,1,0,0,0,0,0,0,_1142,_1140,10.0,2.0,0,0
hw563459,213,14,104,126,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hw567559,58,15,26,22,2,43,150,29026,8.6,10.2,17.2,18.5,7.5,18.2,1,1,1,0,0,0,0,1,1,_1142,_1140,65.0,2.0,0,1
hw570213,174,13,244,88,2,430,378,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,2,0,0,0,0,1,0,_1142,mixed,25.0,3.0,0,1
hw574861,24,7,25,14,2,34,0,32355,5.4,4.6,22.7,13.6,7.7,13.1,0,1,1,0,0,0,0,0,1,_1142,_1140,25.0,1.0,0,0
hw576296,180,17,101,68,2,117,103,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,1
hw577067,174,11,244,88,1,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,1
hw579790,179,16,69,107,2,161,70,20320,45.2,37.9,25.3,13.7,19.0,14.4,1,3,1,0,0,1,1,1,0,mixed,_1140,10.0,3.3333333333333335,0,1
hx100935,142,21,244,112,1,93,0,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,1,1,0,0,0,0,0,0,_1142,_1140,35.0,2.0,0,0
hx102820,147,8,18,33,1,121,0,15506,41.3,35.1,24.5,21.9,11.8,15.8,0,1,1,0,0,0,0,0,0,_1142,_1140,55.0,2.0,0,0
hx105434,150,18,80,69,1,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,1,1,1,1,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
hx107078,150,23,80,69,1,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
hx111217,180,17,49,126,1,132,50,18928,31.1,25.0,28.3,17.9,17.3,15.1,1,1,1,1,0,1,0,1,0,_1142,_1140,10.0,4.0,0,1
hx112667,213,16,104,126,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,0,2,1,0,0,0,1,1,0,mixed,_1140,25.0,1.5,0,0
hx116936,150,23,80,69,2,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,4.0,0,1
hx119153,165,24,83,118,1,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,0
hx121804,44,4,19,13,1,37,0,23617,3.3,4.7,12.3,18.7,10.6,14.2,1,1,1,0,0,1,0,0,1,_1142,_1140,10.0,2.0,0,1
hx123785,147,12,101,76,1,117,0,18366,33.4,30.0,31.5,14.9,17.7,15.7,0,2,1,0,0,0,1,0,0,mixed,_1140,10.0,1.0,0,0
hx126764,165,8,83,87,1,139,5,12524,26.6,24.6,30.6,42.4,17.4,21.4,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,4.0,0,1
hx128524,153,12,52,44,2,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,2,1,0,0,1,1,1,0,mixed,_1140,10.0,1.0,0,1
hx130069,295,39,115,100,2,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,4.0,0,0
hx130273,295,12,99,196,2,470,234,10951,40.0,36.0,40.3,26.2,25.2,20.1,0,1,2,0,0,0,0,1,0,_1142,mixed,30.0,2.0,0,0
hx131480,179,24,90,126,2,326,0,17213,49.7,44.6,25.6,17.9,18.9,18.2,1,1,2,1,0,1,0,0,0,_1142,mixed,17.5,1.0,0,1
hx131767,180,7,49,68,1,132,50,18928,31.1,25.0,28.3,17.9,17.3,15.1,0,2,1,1,0,0,1,1,0,mixed,_1140,10.0,1.5,0,0
hx132529,295,39,115,100,3,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,3.0,0,0
hx132617,150,23,80,69,4,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,0
hx139648,142,14,244,112,1,178,70,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,1,1,1,0,0,0,1,0,_1142,_1140,10.0,1.0,0,0
hx142789,165,7,28,41,1,63,39,13138,11.1,10.6,23.0,48.2,11.2,20.6,1,1,1,1,0,0,0,1,1,_1142,_1140,55.0,2.0,0,1
hx144647,295,26,99,196,1,235,117,10951,40.0,36.0,40.3,26.2,25.2,20.1,1,1,1,0,0,0,0,1,1,_1142,_1140,45.0,4.0,0,1
hx145191,72,9,43,43,1,60,0,41488,12.7,9.3,21.6,11.2,10.7,18.2,1,1,1,0,0,1,0,0,0,_1142,_1140,10.0,1.0,0,1
hx150373,174,13,244,88,2,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,2,1,0,0,0,1,1,0,mixed,_1140,35.0,1.0,0,1
hx150821,213,29,104,118,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,0,0,1,0,_1142,_1140,65.0,1.0,0,1
hx150345,180,17,101,68,1,117,103,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,1,1,1,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
hx156332,179,17,69,76,3,163,0,20320,45.2,37.9,25.3,13.7,19.0,14.4,0,1,1,0,0,0,0,0,0,_1142,_1140,25.0,2.0,0,0
hx158889,147,13,55,94,1,121,66,15393,36.9,33.7,28.0,28.2,17.7,18.1,1,2,1,1,0,0,1,1,0,mixed,_1140,35.0,3.0,0,1
hx160329,165,7,10,87,1,139,0,16942,1.8,1.8,35.8,37.5,11.6,11.5,1,2,1,0,0,0,1,0,0,mixed,_1140,25.0,2.0,0,1
hx161193,142,19,75,84,1,145,5,17974,40.9,37.7,19.5,17.4,17.8,14.3,0,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,0
hx166613,295,25,99,156,1,235,9,10951,40.0,36.0,40.3,26.2,25.2,20.1,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hx167048,165,24,83,118,3,417,252,12524,26.6,24.6,30.6,42.4,17.4,21.4,1,1,3,1,0,0,0,1,0,_1142,mixed,31.666666666666668,2.0,0,1
hx168322,76,5,31,84,1,161,0,19709,38.0,35.6,15.7,15.6,18.3,12.0,0,1,1,0,0,0,0,0,1,_1142,_1140,35.0,1.0,0,0
hx169429,179,16,80,84,1,161,46,16022,37.6,32.6,24.5,19.5,24.2,15.1,1,2,1,0,0,1,1,1,0,mixed,_1140,10.0,1.5,0,1
hx168924,106,6,7,45,2,42,0,39243,5.8,5.0,18.2,5.3,6.9,9.7,1,2,1,1,0,1,1,0,0,mixed,_1140,10.0,1.0,0,1
hx176463,72,6,37,100,1,8,0,39596,8.5,6.6,15.7,13.4,6.0,18.8,0,2,1,0,0,0,1,0,1,mixed,_1140,35.0,1.5,0,0
hx177692,174,24,244,112,1,1290,1134,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,2,6,1,0,0,1,1,0,mixed,mixed,17.5,2.5,0,0
hx179891,150,8,21,118,1,108,24,12014,10.8,11.1,20.8,54.1,14.0,21.8,0,1,1,0,0,0,0,1,1,_1142,_1140,35.0,2.0,0,0
hx181370,24,3,8,14,1,6,0,33364,5.8,3.9,16.6,9.0,9.0,12.1,0,1,1,0,0,0,0,0,0,_1142,_1140,25.0,3.0,0,0
hx184454,295,29,99,156,1,235,117,10951,40.0,36.0,40.3,26.2,25.2,20.1,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,1
hx187389,106,8,21,45,4,46,26,23098,13.6,9.1,26.1,16.9,16.7,10.3,1,1,1,1,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
hx186536,213,16,99,69,2,152,32,10559,47.2,39.3,32.3,30.3,34.7,20.3,1,2,1,0,0,0,1,1,0,mixed,_1140,35.0,1.0,0,1
hx190919,295,25,115,100,1,235,31,13391,29.0,22.7,32.6,36.8,12.3,19.2,1,1,1,1,0,0,0,1,0,_1142,_1140,45.0,1.0,0,1
hx191550,295,25,115,100,1,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,1,1,1,1,0,0,0,1,0,_1142,_1140,75.0,1.0,0,1
hx193257,179,16,80,107,1,322,0,16022,37.6,32.6,24.5,19.5,24.2,15.1,0,1,2,0,0,0,0,0,0,_1142,mixed,30.0,2.0,0,0
hx193885,147,12,101,76,1,117,0,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,1,1,0,0,0,0,0,0,_1142,_1140,25.0,3.0,0,1
hx195480,147,3,3,33,1,4,26,22561,6.9,13.4,12.1,17.9,9.6,13.7,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,0
hx179976,147,3,9,33,1,121,26,15347,10.7,10.1,18.7,35.5,14.5,17.7,1,3,1,1,0,0,1,1,1,mixed,_1140,75.0,2.0,0,1
hx198452,106,7,40,87,1,46,0,22056,32.1,25.8,28.3,19.4,20.6,14.3,1,1,1,1,0,0,0,0,0,_1142,_1140,55.0,4.0,0,1
hx198850,106,8,21,45,4,46,26,23098,13.6,9.1,26.1,16.9,16.7,10.3,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,0
hx206414,150,23,80,69,4,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,1,1,1,0,0,0,0,1,1,_1142,_1140,55.0,2.0,0,1
hx206656,147,11,10,76,1,121,0,23495,22.1,18.5,16.7,13.3,16.6,13.3,0,1,1,0,0,0,0,0,0,_1142,_1140,35.0,2.0,0,0
hx207408,147,24,101,94,2,351,309,18366,33.4,30.0,31.5,14.9,17.7,15.7,0,1,3,0,0,0,0,1,0,_1142,mixed,25.0,1.0,0,0
hx199577,213,12,90,126,1,151,12,17213,49.7,44.6,25.6,17.9,18.9,18.2,1,2,1,0,0,0,1,1,0,mixed,_1140,25.0,1.0,0,1
hx211314,295,15,67,196,4,470,64,13596,38.4,37.1,39.7,26.2,16.4,19.4,0,2,2,0,0,0,1,1,0,mixed,mixed,17.5,3.0,0,0
hx212376,147,14,4,76,1,163,0,13756,70.3,70.3,22.5,18.6,23.4,12.9,1,4,1,0,0,1,1,0,0,mixed,_1140,10.0,1.75,0,1
hx213100,295,6,67,43,1,75,27,13596,38.4,37.1,39.7,26.2,16.4,19.4,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,0
hx214089,174,25,244,196,1,645,567,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,1,3,0,0,0,0,1,0,_1142,mixed,20.0,2.0,0,0
hx217334,147,21,55,94,1,121,66,15393,36.9,33.7,28.0,28.2,17.7,18.1,0,1,1,0,0,0,0,1,0,_1142,_1140,45.0,1.0,0,0
hx223928,43,9,26,26,1,28,10,23714,7.7,5.2,22.7,18.1,7.5,16.4,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
hx228931,174,20,244,88,2,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,4.0,0,1
hx229207,142,6,26,22,1,43,0,29026,8.6,10.2,17.2,18.5,7.5,18.2,1,1,1,0,0,1,0,0,1,_1142,_1140,10.0,1.0,0,1
hx229266,295,14,67,43,1,75,16,13596,38.4,37.1,39.7,26.2,16.4,19.4,1,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,1
hx229324,147,13,55,33,1,242,132,15393,36.9,33.7,28.0,28.2,17.7,18.1,2,2,2,1,0,1,1,1,1,mixed,mixed,10.0,2.0,0,1
hx229502,180,20,49,68,1,264,100,18928,31.1,25.0,28.3,17.9,17.3,15.1,0,1,2,0,0,0,0,1,0,_1142,mixed,25.0,1.0,0,0
hx230268,142,26,27,90,3,64,64,8535,33.0,32.8,61.4,24.6,26.4,12.5,0,1,2,0,0,0,0,1,0,_1142,mixed,30.0,1.0,0,0
hx230719,213,16,99,107,1,304,162,10559,47.2,39.3,32.3,30.3,34.7,20.3,0,1,2,0,0,0,0,1,0,_1142,mixed,17.5,1.0,0,0
hx236823,179,14,80,84,1,161,0,16022,37.6,32.6,24.5,19.5,24.2,15.1,0,1,1,0,0,0,0,0,0,_1142,_1140,55.0,3.0,0,0
hx237477,295,18,115,100,1,235,32,13391,29.0,22.7,32.6,36.8,12.3,19.2,0,3,1,1,0,0,1,1,0,mixed,_1140,25.0,3.6666666666666665,0,0
hx237693,165,13,28,41,1,252,156,13138,11.1,10.6,23.0,48.2,11.2,20.6,0,1,4,0,0,0,0,1,1,_1142,mixed,21.25,4.0,0,0
hx237813,174,14,244,88,1,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hx237696,142,21,244,112,1,93,70,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,1,0,0,1,0,1,1,_1142,_1140,10.0,2.0,0,1
hx238998,153,21,52,44,2,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,1
hx239765,142,20,75,95,1,145,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,0,1,1,0,0,0,0,0,0,_1142,_1140,25.0,1.0,0,0
hx239919,295,12,99,196,1,235,117,10951,40.0,36.0,40.3,26.2,25.2,20.1,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hx239937,36,1,6,3,1,7,0,71403,0.7,2.3,11.8,4.3,4.5,13.2,1,2,1,0,0,0,1,0,1,mixed,_1140,35.0,2.0,0,1
hx240739,165,24,83,126,3,278,168,12524,26.6,24.6,30.6,42.4,17.4,21.4,1,1,2,0,0,1,0,1,0,_1142,mixed,10.0,2.0,0,1
hx240837,142,13,115,25,1,93,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,0,1,1,0,0,0,0,1,1,_1142,_1140,25.0,1.0,0,0
hx229406,24,4,8,11,1,6,0,33364,5.8,3.9,16.6,9.0,9.0,12.1,1,1,1,0,0,0,0,0,0,_1142,_1140,45.0,2.0,0,1
hx243458,150,14,80,69,2,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hx243655,36,2,25,17,1,18,0,32355,5.4,4.6,22.7,13.6,7.7,13.1,0,2,2,0,0,0,1,0,1,mixed,mixed,35.0,2.5,0,0
hx246577,165,11,12,24,1,60,0,17577,5.1,6.5,16.1,31.8,11.9,16.7,1,1,1,0,0,0,0,0,0,_1142,_1140,25.0,1.0,0,1
hx247733,174,24,244,196,1,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hx252574,165,16,83,41,1,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,0
hx255335,76,16,25,95,1,52,0,26185,19.9,15.8,13.7,10.9,14.9,13.2,1,2,1,0,0,0,1,0,0,mixed,_1140,35.0,3.5,0,1
hx256233,295,12,99,196,2,235,117,10951,40.0,36.0,40.3,26.2,25.2,20.1,1,2,1,0,0,0,1,1,0,mixed,_1140,25.0,2.0,0,1
hx259396,153,14,52,44,1,740,200,10697,11.1,8.6,28.1,58.7,11.5,19.5,0,1,4,0,0,0,0,1,1,_1142,mixed,23.75,1.0,0,0
hx260788,58,12,37,43,1,39,150,39596,8.5,6.6,15.7,13.4,6.0,18.8,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hx264520,153,14,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,3.0,0,0
hx265196,180,20,90,126,1,163,70,17213,49.7,44.6,25.6,17.9,18.9,18.2,0,1,1,0,0,0,0,1,0,_1142,_1140,10.0,1.0,0,0
hx266139,142,8,13,27,1,37,53,15411,12.7,11.8,19.1,41.9,12.9,20.3,0,1,1,0,0,0,0,1,0,_1142,_1140,10.0,4.0,0,0
hx267017,44,10,18,26,1,22,0,26347,3.7,5.2,8.3,18.0,8.6,12.5,1,1,1,1,0,1,0,0,0,_1142,_1140,10.0,1.0,0,1
